,시도시군구,불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),농업면적,시도구분,연평균강수량,해발고도,연평균기온,농가인구비율,cluster
61,서구,0.5007215007215007,0.10898021308980213,0.02451952746187076,0.0,광주광역시,0.34325315939665724,0.08748441376878219,0.7481243301178991,0.13056388739835734,0
62,남구,0.3256373256373256,0.08943683409436834,0.03171559552146699,0.0,광주광역시,0.34325315939665724,0.08748441376878219,0.7481243301178991,0.13056388739835734,0
63,북구,0.2978595478595479,0.17467275494672754,0.06415851185753328,0.0,광주광역시,0.34325315939665724,0.08748441376878219,0.7481243301178991,0.13056388739835734,0
64,광산구,0.2552910052910053,0.2901065449010654,0.1206911751741162,0.006903698597793412,광주광역시,0.34325315939665724,0.08748441376878219,0.7481243301178991,0.13056388739835734,2
65,동구,0.14574314574314576,0.09722983257229834,0.07393326280525434,0.0,대전광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.10505563665583173,2
66,중구,0.2807840307840308,0.07799086757990867,0.03255311645949044,0.006124577852957504,대전광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.10505563665583173,0
67,서구,0.29244829244829246,0.13375951293759514,0.05091796702812308,0.024073936605375615,대전광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.10505563665583173,0
68,유성구,0.2269119769119769,0.20146118721461187,0.0953451467865644,0.0,대전광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.10505563665583173,2
69,대덕구,0.34764309764309764,0.11196347031963469,0.036426650797848896,0.0,대전광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.10505563665583173,0
70,중구,0.39478114478114484,0.06155251141552512,0.01871749096358988,0.0,울산광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.15007866121567554,0
71,남구,0.6186868686868687,0.22429223744292237,0.03941858414881425,0.0,울산광역시,0.30992662046473707,0.0830258070204164,0.6430868167202571,0.15007866121567554,0
